passo 60	a = 1	+dist = 0.707107	+ror = 5	AV = 1.38534	AV2 = 9.6
passo 61	a = 1	+dist = 0.714143	+ror = 5.1	AV = 1.44215	AV2 = 10.4
passo 62	a = 2	+dist = 0.812404	+ror = 6.6	AV = 1.5998	AV2 = 12.8
passo 63	a = 0	+dist = 0.806226	+ror = 6.5	AV = 1.52037	AV2 = 9.33387e+25
passo 64	a = 2	+dist = 0.905539	+ror = 8.2	AV = 1.69294	AV2 = 14.4
passo 65	a = 2	+dist = 1.00499	+ror = 10.1	AV = 1.78601	AV2 = 16.2
passo 66	a = 2	+dist = 1.10454	+ror = 12.2	AV = 1.81164	AV2 = 17.2
passo 67	a = 1	+dist = 1.10905	+ror = 12.3	AV = 1.74937	AV2 = 16.4
passo 68	a = 0	+dist = 1.10454	+ror = 12.2	AV = 1.75261	AV2 = 16.4
passo 69	a = 5	+dist = 1.1	+ror = 12.1	AV = 1.82801	AV2 = 17.4
passo 70	a = 3	+dist = 1	+ror = 10	AV = 1.8124	AV2 = 16.6
passo 71	a = 4	+dist = 1.00499	+ror = 10.1	AV = 1.7731	AV2 = 16
passo 72	a = 1	+dist = 1.00995	+ror = 10.2	AV = 1.82235	AV2 = 16.8
passo 73	a = 1	+dist = 1.0247	+ror = 10.5	AV = 1.79281	AV2 = 16.4
passo 74	a = 4	+dist = 1.03923	+ror = 10.8	AV = 1.77408	AV2 = 16.2
passo 75	a = 0	+dist = 1.0247	+ror = 10.5	AV = 1.75271	AV2 = 15.8
passo 76	a = 4	+dist = 1.04881	+ror = 11	AV = 1.78366	AV2 = 16.4
passo 77	a = 0	+dist = 1.04403	+ror = 10.9	AV = 1.77204	AV2 = 16.2
passo 78	a = 5	+dist = 1.0198	+ror = 10.4	AV = 1.84443	AV2 = 17.2
passo 79	a = 4	+dist = 1.04403	+ror = 10.9	AV = 1.85026	AV2 = 17.4
passo 80	a = 5	+dist = 1.0198	+ror = 10.4	AV = 1.92534	AV2 = 18.6
passo 81	a = 2	+dist = 1.11803	+ror = 12.5	AV = 2.03999	AV2 = 21
passo 82	a = 3	+dist = 1.0198	+ror = 10.4	AV = 1.96849	AV2 = 19.4
passo 83	a = 0	+dist = 1.0247	+ror = 10.5	AV = 2.06873	AV2 = 21.4
passo 84	a = 4	+dist = 1.04881	+ror = 11	AV = 2.12584	AV2 = 22.6
passo 85	a = 5	+dist = 1.0247	+ror = 10.5	AV = 2.10636	AV2 = 22.2
passo 86	a = 4	+dist = 1.04881	+ror = 11	AV = 2.17131	AV2 = 23.6
passo 87	a = 2	+dist = 1.14455	+ror = 13.1	AV = 2.28033	AV2 = 26
passo 88	a = 0	+dist = 1.15758	+ror = 13.4	AV = 2.31517	AV2 = 26.8
passo 89	a = 2	+dist = 1.253	+ror = 15.7	AV = -nan	AV2 = 27.2
passo 90	a = 2	+dist = 1.34907	+ror = 18.2	AV = 2.45361	AV2 = 30.4
passo 91	a = 2	+dist = 1.44568	+ror = 20.9	AV = 2.59894	AV2 = 34.2
passo 92	a = 2	+dist = 1.54272	+ror = 23.8	AV = 2.73436	AV2 = 38
passo 93	a = 2	+dist = 1.64012	+ror = 26.9	AV = 2.79338	AV2 = 40.2
passo 94	a = 0	+dist = 1.65529	+ror = 27.4	AV = 2.88818	AV2 = 42.6
passo 95	a = 4	+dist = 1.67631	+ror = 28.1	AV = 2.86374	AV2 = 42.2
passo 96	a = 4	+dist = 1.70294	+ror = 29	AV = 2.97573	AV2 = 45.2
passo 97	a = 3	+dist = 1.60935	+ror = 25.9	AV = 2.96949	AV2 = 44.4
passo 98	a = 3	+dist = 1.51658	+ror = 23	AV = 2.90941	AV2 = 42.4
passo 99	a = 5	+dist = 1.48661	+ror = 22.1	AV = 2.84675	AV2 = 40.6
passo 100	a = 3	+dist = 1.39284	+ror = 19.4	AV = 2.84198	AV2 = 40.4
passo 1	a = 3	+dist = 0.1	+ror = 0.1	AV = 0.3	AV2 = 0.3
passo 2	a = 4	+dist = 0.141421	+ror = 0.2	AV = 0.482843	AV2 = 0.8
passo 3	a = 0	+dist = 0.173205	+ror = 0.3	AV = 0.570017	AV2 = 1.1
passo 4	a = 3	+dist = 0.244949	+ror = 0.6	AV = 0.669213	AV2 = 1.6
